symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
CALM,NASDAQ,0.01,2.44,40.9534,448424,18364487,0.8687,0.9943,99,1/7/2019,1/11/2019
CAMP,NASDAQ,0.01,9.35,10.697,320158,3424730,0.2754,0.3969,40,1/7/2019,1/11/2019
CAMT,NASDAQ,0.01,10.6,9.4367,132576,1251080,0.243,0.3163,32,1/7/2019,1/11/2019
CAPR,NASDAQ,0.01,30.49,3.2795,663960,2177457,0.3791,0.3401,34,1/7/2019,1/11/2019
CAR,NASDAQ,0.01,3.33,30.0149,1062605,31893983,0.7684,1.0583,106,1/7/2019,1/11/2019
CARA,NASDAQ,0.01,4.53,22.0897,721851,15945472,0.7135,0.9369,94,1/7/2019,1/11/2019
CARE,NASDAQ,0.01,5.16,19.3687,70831,1371904,0.236,0.496,50,1/7/2019,1/11/2019
CARG,NASDAQ,0.01,3,33.2792,842005,28021253,0.7292,1.1258,113,1/7/2019,1/11/2019
CARV,NASDAQ,0.01,32.24,3.1014,2695,8358,0.1167,0.1533,15,1/7/2019,1/11/2019
CARZ,NASDAQ,0.01,3.12,32.0477,2285,73229,0.3552,0.123,12,1/7/2019,1/11/2019
CASA,NASDAQ,0.01,14.91,6.7052,264709,1774927,0.2495,0.3217,32,1/7/2019,1/11/2019
CASH,NASDAQ,0.01,3.22,31.0797,248033,7708791,0.6816,0.8597,86,1/7/2019,1/11/2019
CASI,NASDAQ,0.01,30.98,3.2281,169981,548716,0.0856,0.1517,15,1/7/2019,1/11/2019
CASS,NASDAQ,0.01,1.93,51.6826,37436,1934790,0.8086,1.2248,122,1/7/2019,1/11/2019
CASY,NASDAQ,0.01,0.61,164.4143,308764,50765217,1.8881,3.0438,304,1/7/2019,1/11/2019
CATB,NASDAQ,0.01,16.33,6.1223,67094,410770,0.1991,0.3569,36,1/7/2019,1/11/2019
CATC,NASDAQ,0.01,1.3,76.9393,6333,487257,1.4631,1.9579,196,1/7/2019,1/11/2019
CATH,NASDAQ,0.01,2.76,36.2547,19308,700006,0.3524,0.2998,30,1/7/2019,1/11/2019
CATM,NASDAQ,0.01,3.3,30.3078,486887,14756474,0.8128,1.1723,117,1/7/2019,1/11/2019
CATY,NASDAQ,0.01,2.87,34.8985,355117,12393051,0.5606,0.7422,74,1/7/2019,1/11/2019
CBAN,NASDAQ,0.01,6.26,15.9622,7488,119525,0.2404,0.4183,42,1/7/2019,1/11/2019
CBAT,NASDAQ,0.0001,1.27,0.7855,152160,119522,0.0403,0.0736,736,1/7/2019,1/11/2019
CBAY,NASDAQ,0.01,17.59,5.6865,608169,3458353,0.1718,0.3003,30,1/7/2019,1/11/2019
CBFV,NASDAQ,0.01,3.91,25.5937,9350,239301,0.395,0.55,55,1/7/2019,1/11/2019
CBIO,NASDAQ,0.01,14.9,6.7109,156270,1048712,0.2985,0.4312,43,1/7/2019,1/11/2019
CBLI,NASDAQ,0.01,82.07,1.2185,11628,14169,0.0559,0.0681,7,1/7/2019,1/11/2019
CBMB,NASDAQ,0.01,7.23,13.8327,6540,90466,0.1791,0.0957,10,1/7/2019,1/11/2019
CBMG,NASDAQ,0.01,7.16,13.9643,31773,443688,0.5287,0.7413,74,1/7/2019,1/11/2019
CBNK,NASDAQ,0.01,7.78,12.8576,12322,158431,0.2354,0.3674,37,1/7/2019,1/11/2019
CBPO,NASDAQ,0.01,0.97,103.5798,144814,14999805,1.494,1.7833,178,1/7/2019,1/11/2019
CBRL,NASDAQ,0.01,0.6,165.7321,375563,62242845,2.1336,3.0933,309,1/7/2019,1/11/2019
CBSH,NASDAQ,0.01,1.68,59.4234,469166,27879439,0.7633,1.0572,106,1/7/2019,1/11/2019
CBSHP,NASDAQ,0.01,3.82,26.2024,12433,325774,0.1313,0.2007,20,1/7/2019,1/11/2019
CBTX,NASDAQ,0.01,3.52,28.415,33701,957614,0.5254,0.8085,81,1/7/2019,1/11/2019
CCB,NASDAQ,0.01,6.55,15.2787,24362,372220,0.2793,0.4085,41,1/7/2019,1/11/2019
CCBG,NASDAQ,0.01,3.87,25.8121,26064,672767,0.4218,0.678,68,1/7/2019,1/11/2019
CCCL,NASDAQ,0.0001,1.23,0.816,43969,35879,0.0314,0.063,630,1/7/2019,1/11/2019
CCD,NASDAQ,0.01,4.89,20.4307,65952,1347446,0.2134,0.2918,29,1/7/2019,1/11/2019
CCLP,NASDAQ,0.01,31.77,3.1479,117630,370287,0.0757,0.1305,13,1/7/2019,1/11/2019
CCMP,NASDAQ,0.01,0.77,129.0506,197957,25546470,2.437,3.2758,328,1/7/2019,1/11/2019
CCNE,NASDAQ,0.01,3.57,28.0308,19483,546124,0.4971,0.8677,87,1/7/2019,1/11/2019
